"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003604517208","https://ae04.alicdn.com/kf/H44b936a599f7424aa6481d42069d67ede.jpg",,"2021 Lace Thermal Underwear Sexy Ladies Clothes Winter Seamless Antibacterial Warm Intimates Print Long Johns Women Shaped Sets","USD 20.58","USD 10.29","50%","USD","7","USD 0.72","26","98.0%","https://s.click.aliexpress.com/e/_DeRwaHz"
"1005003960528977","https://ae04.alicdn.com/kf/S7cbce4b25e50466a929e088d2ab07480o.jpg",,"Solid Color Surgical Suits Tops+Jogger Pants Hospital Pet Clinic Doctor Nurse Work Suits Medical Clothes Nursing Scrubs Uniforms","USD 34.49","USD 12.07","65%","USD","7","USD 0.84","29","100.0%","https://s.click.aliexpress.com/e/_DBYYekL"
"1005003040986624","https://ae04.alicdn.com/kf/Hffc82df76c6d48a49532fff7574d7d5dH.jpg",,"Camisole Women Backless Solid Casual Sexy Female Clothes Design Korean Style Popular Trendy Elegant Lovely Chic Vintage Newest","USD 8.93","USD 8.48","5%","USD","9","USD 0.76","42","85.0%","https://s.click.aliexpress.com/e/_DCA3zI7"
"1005001856091491","https://ae04.alicdn.com/kf/H11df76bb29524ff28c9d232481615c50Z.jpg",,"Women Hooded Caps Running Jackets Cycling Coat Yoga Clothing Jogging Spring/Autumn Thin Outdoor Clothes Sportswear Wholesale","USD 10.24","USD 8.50","17%","USD","7","USD 0.60","49","100.0%","https://s.click.aliexpress.com/e/_DmUFajp"
"1005004409497557","https://ae04.alicdn.com/kf/Sb9d94129406442c486af214a940d735aH.jpg",,"Lamb Wool Coat Cotton-Padded Clothes for Women Trendy Ins Hong Kong Style Loose All-Match Small plus Velvet Thickened Cotton-Pad","USD 8.49","USD 8.49","0%","USD","9","USD 0.76","32","100.0%","https://s.click.aliexpress.com/e/_DkQHf5h"
"1005003311436346","https://ae04.alicdn.com/kf/H711c940df17047e390690ce29cfac42ea.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/327534654423.mp4","Black Full Seat Silicone Equestrian Breeches Anti-pilling Navy Horse Riding Tights Women Reithose Riding Pant Equestrian Clothes","USD 52.02","USD 33.29","36%","USD","10.0","USD 3.33","1145","97.5%","https://s.click.aliexpress.com/e/_DnklS83"
"1005004181197995","https://ae04.alicdn.com/kf/Sb999c0cec83c47e39fbbef8bd73c45f2N.jpg",,"17 PCS Heated vest Jacket Fashion Men Women Coat Intelligent USB Electric Heating Thermal Warm Clothes Winter Heated Vest 열선조끼","USD 21.40","USD 10.70","50%","USD","8.0","USD 0.86","552","80.2%","https://s.click.aliexpress.com/e/_DERDZaj"
"1005004100330682","https://ae04.alicdn.com/kf/S8fa3e4dbc6e0498abed2c9c5fe2df1ed0.jpg",,"Women's cycling clothing mtb shirt short sleeve cross-country pro cycling jerseys teams motocross clothes downhill t-shirt","USD 19.00","USD 12.35","35%","USD","18.0","USD 2.22","44","100.0%","https://s.click.aliexpress.com/e/_DkejS9d"
"1005003572471344","https://ae04.alicdn.com/kf/H9e3f26969faa49cf9a48dec1ce0b93625.jpg",,"FIT FUNKY ZUMBA ZW Womens Knitted cotton clothes  zumba fitness clothes  tshirt  tops  fashion tshirtv neck  2640","USD 10.98","USD 10.98","0%","USD","7","USD 0.77","21","100.0%","https://s.click.aliexpress.com/e/_Ddx1LwL"
"1005002610347270","https://ae04.alicdn.com/kf/H5444d6bbeae343f680ee9330c17f8d09I.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/309055265729.mp4","LJCUIYAO Woman Summer Breathable Tops Loose T-Shirt Pullover Casual Stripe Patchwork Fitness O-Neck Green Red Chiffon Clothes","USD 7.00","USD 3.99","43%","USD","9","USD 0.36","75","90.0%","https://s.click.aliexpress.com/e/_DDqqdAj"
