"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"4000275893159","https://ae04.alicdn.com/kf/H11bf13fe5e6a4c8cb8f14884c8200e25G.jpg",,"Mom Plus Dad Love Me Newborn Baby Long Sleeve Clothes Boy Girl Kids Cotton Body Infant Funny Jumpsuit","USD 5.66","USD 4.64","18%","USD","7","USD 0.32","2","0.0%","https://s.click.aliexpress.com/e/_DBcv1uP"
"1005002301511586","https://ae04.alicdn.com/kf/Ha71236b8461f4000971da8af3bd3f94db.png",,"Summer Toddler Girls Clothes One Piece Sleeveless Sling Romper Colorful Striped Baby Clothing 0-2 Years Kids Cotton Body Suits","USD 3.66","USD 3.66","0%","USD","7","USD 0.26","0","null%","https://s.click.aliexpress.com/e/_DlIRq07"
"1005003891327984","https://ae04.alicdn.com/kf/S020d8390807f47a39bcb9ff1b43def11b.jpg",,"Newborn Baby Summer Rompers  Cotton Infant Body Short Sleeve Kids Jumpsuit Solid Color Boy Girl Clothes","USD 15.85","USD 8.24","48%","USD","8.0","USD 0.66","0","null%","https://s.click.aliexpress.com/e/_DdEJJGn"
"1005002901979896","https://ae04.alicdn.com/kf/H65ffc9773e9449cf99bbc87158c8a22eN.jpg",,"Newborn Infant Baby Girls Boys Printed Halter Romper Sleeveless Jumpsuit Body Baby Girls Boys Clothes Body Kids Clothes","USD 9.29","USD 6.50","30%","USD","7","USD 0.46","0","null%","https://s.click.aliexpress.com/e/_DeoTh0P"
"1005004459222476","https://ae04.alicdn.com/kf/S850b4d66255a473880d8f63580456b6aV.jpg",,"RiniLucia Newborn Kid Baby Girls Floral Clothes Long Sleeve Lapel Romper Sweet Jumpsuit Princess New Born Body Suit Outfit","USD 19.61","USD 11.96","39%","USD","10.0","USD 1.20","0","null%","https://s.click.aliexpress.com/e/_DBqn7kf"
"4000812052567","https://ae04.alicdn.com/kf/H9b9beabd79e24e5380ab3f46cf7c7bc6x.jpg",,"Baby Bodysuits Autumn Newborn Boys Girls Body Tops 100%Cotton Knitted Infant Kids Jumpsuits Clothes 0-24Months Toddler Costumes","USD 9.59","USD 8.15","15%","USD","7","USD 0.57","1","100.0%","https://s.click.aliexpress.com/e/_DDCJzsP"
"1005003446068476","https://ae04.alicdn.com/kf/He8a3c54fab824ecf96429d3f4aa62fb5q.jpg",,"Funny Baby Bodysuit Coming Soon 2022 Newborn Announcement Baby Bodysuits Summer Boys Girls Romper Cute Body Rompers Kids Clothes","USD 7.11","USD 4.27","40%","USD","7","USD 0.30","1","73.3%","https://s.click.aliexpress.com/e/_DdorfXH"
"1005003522183146","https://ae04.alicdn.com/kf/Hdd6ee9d6a4cf4c5b8dc3df866930af71m.jpg",,"Newborn Body Suit Todder Clothes Set Baby Girl Cotton Short Sleeve Bodysuit Kid Clothes Set Girls Sunsuit Infant Clothing","USD 2.30","USD 1.31","43%","USD","7","USD 0.09","1","100.0%","https://s.click.aliexpress.com/e/_DDE9p4r"
"4000047485783","https://ae04.alicdn.com/kf/H87403df7bb544763bab56e1bbffb43d6t.jpg",,"0-18M Newborn Kid Baby Girls Summer Clothes Floral Romper Elegant Sweet Sunsuit Cute Princess Body Top Outfit","USD 4.71","USD 4.24","10%","USD","7","USD 0.30","0","null%","https://s.click.aliexpress.com/e/_DEotEQX"
"33058024397","https://ae04.alicdn.com/kf/HTB1bLr2XHj1gK0jSZFOq6A7GpXa1.jpg",,"Summer Clothes Baby Bodysuit I Love My Big Sister Letter Print Short Sleeves Kids Baby Boy Girl Body Outfits","USD 2.70","USD 2.29","15%","USD","7","USD 0.16","0","0.0%","https://s.click.aliexpress.com/e/_DCE1nL9"
