"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003765571963","https://ae04.alicdn.com/kf/Sd4857e8ce0bd4419ba2110309846e21cC.jpg",,"1PC Women Yoga Tank Tops Quick-dry Exercise Women's Workout Gym Clothes Sports T-Shirts Fitness Top Women Shirt Sportswear #0104","USD 8.00","USD 4.40","45%","USD","7","USD 0.31","53","85.0%","https://s.click.aliexpress.com/e/_Dcj209H"
"1005004554575349","https://ae04.alicdn.com/kf/S086d0b3dad324332aa210693777976c5f.jpg",,"Women's sleeveless vest, summer top, slim fitting, sexy, tailored top, Y2K, vest, Harajuku, sweatshirt, clothes, shirts, retro","USD 9.90","USD 9.40","5%","USD","9","USD 0.85","21","100.0%","https://s.click.aliexpress.com/e/_DduyKKB"
"1005003050596186","https://ae04.alicdn.com/kf/He3043cdf07a04394bd0f97562c2fc54cD.jpg",,"Medical Surgical Scrubs Uniforms Operating Room Pet Grooming Spa Working Clothes Dental Clinic Lab Doctor Nurse Working Uniforms","USD 15.99","USD 5.28","67%","USD","8.0","USD 0.42","59","80.0%","https://s.click.aliexpress.com/e/_DlE1gFt"
"1005004646461885","https://ae04.alicdn.com/kf/S52db033ab2304ab28b09196368ba76fdd.jpg",,"Halloween Horror Coffee Tshirt Horror Movie Coffee Tee Halloween Shirts Spooky Season Clothes Coffee Halloween Graphic Shirt","USD 10.31","USD 7.22","30%","USD","9.0","USD 0.65","31","100.0%","https://s.click.aliexpress.com/e/_DeQY4er"
"1005004194731721","https://ae04.alicdn.com/kf/S23ff3dd7bdca46ca9da686fe996fc8d5r.jpg",,"Tiktok Hot Sale Fitness Apparel Women Seamless Yoga Leggings Set Athletic Wear Ribbed Scrunch Booty Gym Shorts Workout Clothes","USD 24.35","USD 12.66","48%","USD","7","USD 0.89","73","99.0%","https://s.click.aliexpress.com/e/_DmolZHZ"
"1005004423782882","https://ae04.alicdn.com/kf/S0855c58ee236415fa978147964583b10S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100052164261.mp4","Belly Dance Practice Clothes Set Chiffon Long Sleeves Top+split Skirt for Women Belly Dancing Exercise Clothing Oriental Outfit","USD 35.48","USD 24.84","30%","USD","7","USD 1.74","22","100.0%","https://s.click.aliexpress.com/e/_DD2Dw8j"
"1005003973495062","https://ae04.alicdn.com/kf/S982df781eece455fa87865057edfd50bn.jpg",,"Vintage Retro 1992 Summer Fashion Outfits Women T Shirts 30th 30 Years Old Birthday Party Ladies Clothes Tshirt Causal Clothes","USD 14.03","USD 9.82","30%","USD","9","USD 0.88","38","100.0%","https://s.click.aliexpress.com/e/_DCFk4ox"
"1005003408429805","https://ae04.alicdn.com/kf/H377332b9d13c44ee99eaa74ecfba4a3dA.jpg",,"Long Sleeve Sports Jacket Women Zip Fitness Yoga Shirt Winter Warm Gym Top Activewear Running Coats Workout Clothes Woman","USD 8.00","USD 4.80","40%","USD","7","USD 0.34","21","80.0%","https://s.click.aliexpress.com/e/_DErjGtd"
"33053600175","https://ae04.alicdn.com/kf/HTB18u4lXoz1gK0jSZLeq6z9kVXaH.jpg",,"pulp fiction ulzzang mia t shirt women Print 2019 Grunge femme harajuku funny kawaii short sleeve clothes tshirt streetwear","USD 5.83","USD 3.44","41%","USD","9","USD 0.31","27","80.0%","https://s.click.aliexpress.com/e/_DCLmAhV"
"1005003770914118","https://ae04.alicdn.com/kf/S4e50cbbcecc9465881300dee4dbb4f15m.jpg",,"NADANBAO New Halloween Wonder Swimwear Women Summer Swimsuit Sexy Fancy Anime Clothes Cosplay Bodysuits Beach Wear","USD 12.99","USD 10.39","20%","USD","10.0","USD 1.04","25","100.0%","https://s.click.aliexpress.com/e/_DlRZC0j"
"1005004148436379","https://ae04.alicdn.com/kf/Sa77c89c0ec8b43628e4efc59a66bafcdW.jpg",,"Loose Yoga Clothes Tops Short-Sleeved Running Quick-Drying Clothes T-Shirts Short Sports Hollow Fitness Clothes Women's Blouses","USD 14.99","USD 10.34","31%","USD","7","USD 0.72","217","98.8%","https://s.click.aliexpress.com/e/_DFr5ujt"
"1005002667640089","https://ae04.alicdn.com/kf/Hb47e8be000734cc2a7f3051d314cc1cbA.jpg",,"Women Breathable In Summer Nursing Scrubs Tops Shirt Casual Short Sleeve Women Scrubs Uniforms Nurse V-neck Pocket Women Clothes","USD 25.00","USD 8.75","65%","USD","7","USD 0.61","59","80.0%","https://s.click.aliexpress.com/e/_DmA1LCB"
"1005004274712471","https://ae04.alicdn.com/kf/Sd1e5a4282514453290f51a8fed414492h.jpg",,"TGM Activewear Suits Short-sleeved Tshirts LooseTees + Leggings Yoga Pants Women's Two Piece Sets Workout Running Clothes","USD 31.80","USD 21.94","31%","USD","9","USD 1.97","1378","94.2%","https://s.click.aliexpress.com/e/_DnB5ald"
"1005003998026066","https://ae04.alicdn.com/kf/S6245e4d8aeee445db109e7559b791657f.jpg",,"Flash Pearlescent Fairy Three-Dimensional Flower Sequins Ladies Tops Loose Oversized Button up Shirt Fashion Clothes Woman 2022","USD 41.79","USD 29.25","30%","USD","9.0","USD 2.63","93","94.4%","https://s.click.aliexpress.com/e/_DDoIlxl"
