"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004700580258","https://ae04.alicdn.com/kf/S2d50fe4bb27a450ca43ae5c9cf203555Z.jpg",,"American style fried street autumn and winter 2022 gray hooded sweater women ins tide oversize loose top swea t shirt clothes","USD 11.41","USD 7.99","30%","USD","9","USD 0.72","142","88.2%","https://s.click.aliexpress.com/e/_DF8HhCf"
"1005003088951325","https://ae04.alicdn.com/kf/Ha8ccc29f2ffa4a459d1b1cb53e852d28y.jpg",,"Anime Tokyo Revengers Tachibana Hinata Cosplay Costumes JK School uniform Suit Shirt Tie Skirt Socks Wig Halloween Anime clothes","USD 22.10","USD 14.36","35%","USD","8.0","USD 1.15","30","92.7%","https://s.click.aliexpress.com/e/_DdRZiG3"
"1005003659134041","https://ae04.alicdn.com/kf/Hbe2121debd08491490b4d09539afac4dM.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/340023673321.mp4","Belly Dance Clothes for Women Long Sleeves Stripes Belly Dancing Performance Robes Girl's Baladi Shaabi Oriental Dance Clothing","USD 36.95","USD 25.86","30%","USD","7","USD 1.81","32","100.0%","https://s.click.aliexpress.com/e/_DdfXs3Z"
"1005004726344118","https://ae04.alicdn.com/kf/S3850b3405aa547b1960ea1b1b0ff41b3F.jpg",,"Autumn new American retro pictorial design sense long sleeved t-shirt men and women ins tide brand loose sweater women clothes","USD 11.41","USD 7.99","30%","USD","9","USD 0.72","108","90.0%","https://s.click.aliexpress.com/e/_DDg4J63"
"1005004775292965","https://ae04.alicdn.com/kf/S5cff64c5e94c4d1b9dc5577e00b4bb753.jpg",,"2022 Short Sleeve Women T Shirts Y2k  Love Letters Print Oversized T-shirt Harajuku Girl T Shirt Streetwear Tops Woman Clothes","USD 3.50","USD 2.45","30%","USD","50.0","USD 1.22","73","100.0%","https://s.click.aliexpress.com/e/_DlulUPp"
"1005003826350548","https://ae04.alicdn.com/kf/S784e4b079eb84475bb738af342748320y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/345247976303.mp4","Heated Jackets Men Hunting Jackets Women Waterproof USB Heating Hooded Jackets Windbreaker Electric Heated Clothes 6XL 8XL 10XL","USD 69.93","USD 45.46","35%","USD","7","USD 3.18","21","100.0%","https://s.click.aliexpress.com/e/_DFx67aj"
"1005003000980954","https://ae04.alicdn.com/kf/Ha01caa6bf10146b3b3137bbc124e23f6c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/321658910903.mp4","[card thin] goddess caffeine body shaping clothes long style back off style belly closing waist lifting buttocks slimming clothe","USD 29.00","USD 18.85","35%","USD","8.0","USD 1.51","30","93.3%","https://s.click.aliexpress.com/e/_DmDaOt5"
"1005004552739546","https://ae04.alicdn.com/kf/S0494c1be8eb5492eb058770cd2799774l.jpg",,"Yoga Clothes Vest Bra Gathered Sshock-Proof Abdomen Beautiful Back Cross Sling Training Fitness Underwear","USD 71.25","USD 28.50","60%","USD","15.0","USD 4.28","116","100.0%","https://s.click.aliexpress.com/e/_DCkRWkj"
"1005004750695664","https://ae04.alicdn.com/kf/S02df1820f319447e9992ac3192227c6el.jpg",,"Hooded sweater men and women new loose autumn top American retro alphabet print couple jacket ins tide pop clothes sweatshirts","USD 7.12","USD 4.98","30%","USD","9","USD 0.45","32","80.0%","https://s.click.aliexpress.com/e/_Dnm8sdV"
"1005002316961603","https://ae04.alicdn.com/kf/Hae37ecaa22d34a2aa8149f63c8f224e8p.jpg",,"This Queen Makes 50 Look Fabulous Crown Print Graphic T Shirts Lovely Friends Birthday Gift Top Female Summer Clothes T-Shirt","USD 11.45","USD 3.21","72%","USD","9.0","USD 0.29","84","90.6%","https://s.click.aliexpress.com/e/_DeH3pzv"
"1005004737777726","https://ae04.alicdn.com/kf/S8ea840bb4f684349ba194bcefff443e9e.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100087155464.mp4","2PCS Yoga Set Sportswear Women Suit For fitness Seamless Sports Suit Workout Clothes Tracksuit Sports Outfit Gym Clothing Wear","USD 50.15","USD 25.07","50%","USD","7","USD 1.75","36","100.0%","https://s.click.aliexpress.com/e/_DBwzF6F"
"1005002645795183","https://ae04.alicdn.com/kf/Hf77d9996ae9846158312fdf91cde0ba2n.jpg",,"Women Winter Intelligent Heating Jacket USB Charging Women Heated Coat Outdoor Fleece Female Windproof Climbing Clothes","USD 110.00","USD 55.00","50%","USD","9","USD 4.95","20","20.0%","https://s.click.aliexpress.com/e/_DDaZdqL"
"1005002849704198","https://ae04.alicdn.com/kf/Hd64ba37673d84eea811281a7639da1ffI.jpg",,"Russian Inscription Women T-shirts Top Funny Letter Printed Harajuku tshirt lady tee Black White Clothes","USD 5.70","USD 3.99","30%","USD","9","USD 0.36","21","92.7%","https://s.click.aliexpress.com/e/_DezyqYb"
"1005004774784263","https://ae04.alicdn.com/kf/Sd12716e671124fdc8ce738c2e7bf6c40a.jpg",,"Hoodie Cute Hip Hop Women Hooded Sweatshirt Dragon Print Casual Unisex Streetwear Harajuku D Kawaii Y2k Clothes Tops Hoodies","USD 6.99","USD 4.89","30%","USD","9","USD 0.44","27","100.0%","https://s.click.aliexpress.com/e/_DEC4za7"
"1005004518543175","https://ae04.alicdn.com/kf/Hb768768f68254046a14ed231c70209ecg.jpg",,"Women Men Short Sleeve V-neck Tops+Pants Nursing Working Uniform Set Suit Hospital Doctor Clothes Overall Lady Clothing","USD 29.69","USD 16.03","46%","USD","7","USD 1.12","29","100.0%","https://s.click.aliexpress.com/e/_DEsrtT5"
"1005002748345668","https://ae04.alicdn.com/kf/S54d94f1be06b43c095e96d4fa016a1008.jpg",,"Beauty salon Work uniforms Short-sleeved Health services suits working shirt tops/Suits summer pet scrubs costume women clothes","USD 25.00","USD 8.75","65%","USD","8.0","USD 0.70","996","88.8%","https://s.click.aliexpress.com/e/_DCdYo43"
"32838230742","https://ae04.alicdn.com/kf/H257c64679d88418d92553a9e1c7e25ffl.jpg",,"Ballet Dance Leotard For Women Turtleneck Sleeveless Leotard Stage Dancing Costume Adult Dance Practice Gymnastics Clothes","USD 19.99","USD 15.99","20%","USD","7","USD 1.12","35","100.0%","https://s.click.aliexpress.com/e/_DDF4DQT"
"1005004806359189","https://ae04.alicdn.com/kf/S1723ce40a84a45189a82c7e0c406730e1.jpg",,"Korea NSR Cycling Clothing Winter Thermal Fleece Bicycle MTB Cycling Jersey Set Lady Ciclismo Long Sleeve Mountain Bike Clothes","USD 42.05","USD 22.71","46%","USD","8.0","USD 1.82","27","null%","https://s.click.aliexpress.com/e/_DCSV6Zl"
"1005004737918920","https://ae04.alicdn.com/kf/S4b8e5188570e4931bdc88d92b4b32f33S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100087165311.mp4","Women's Yoga Set 2PCS High Waist Leggings Sports Vest Lapel Seamless Sportswear Gym Workout Clothes Fitness Running Sports Suits","USD 40.80","USD 20.40","50%","USD","7","USD 1.43","53","null%","https://s.click.aliexpress.com/e/_DEoQb6j"
"1005004766853327","https://ae04.alicdn.com/kf/S8ff4b9b55bd246f29283b2aa40e37922s.jpg",,"Sanrio Hello Kitty Zip Up Hoodie Y2k Kawaii Aesthetic Jacket Women Punk Grunge Vintage Streetshirt Harajuku Sweatshirts Clothes","USD 25.90","USD 20.72","20%","USD","9.0","USD 1.86","47","100.0%","https://s.click.aliexpress.com/e/_DE9xNR9"
"1005003197124849","https://ae04.alicdn.com/kf/S88561fb0ed6b447d99ebeff6ef3cba791.jpg",,"Pet Grooming Work Set Costumes Short-sleeved Nurse Uniform V-neck Lab Clothing Solid Color Workwear Dentist Jogging Work Clothes","USD 17.59","USD 5.80","67%","USD","7","USD 0.41","23","84.0%","https://s.click.aliexpress.com/e/_DkT9kvH"
"1005004694727474","https://ae04.alicdn.com/kf/Sa2e0c8096614488d9795985df43c011dm.jpg",,"Sanrio Cinnamoroll Flannel Pajamas Cartoon Kuromi Melody Home Clothes 2 Piece Set Women Soft Plush Sleepwear Cardigan Tops Pants","USD 29.24","USD 23.98","18%","USD","8.0","USD 1.92","21","100.0%","https://s.click.aliexpress.com/e/_DFjXr7z"
"1005003230010406","https://ae04.alicdn.com/kf/H43a6fa3c25b546d989f593acf3b5be76h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/325269986501.mp4","Aesthetic Striped Short Sleeve Midi Pulovers Casual Korean Clothes Loose Women's T-shirt Summer Graphic T Shirt Tops Fashion","USD 20.38","USD 10.19","50%","USD","9","USD 0.92","32","100.0%","https://s.click.aliexpress.com/e/_DmfcQ2r"
"1005002798833713","https://ae04.alicdn.com/kf/Hb3ac7bdd93be4009a448913b7da761425.jpg",,"2021 Fashion New Latin Dance Tops New Adult Female Half Sleeved Practice Clothes Women Ballroom Dance Stage Performance Costumes","USD 16.32","USD 13.38","18%","USD","8.0","USD 1.07","27","40.0%","https://s.click.aliexpress.com/e/_DeCLtt1"
"1005003096220584","https://ae04.alicdn.com/kf/H8ff4dd139a1845678855c5865ec3064eJ.jpg",,"Uniform Nurse Woman Print T-shirt Dentistry Veterinary Surgical Top Workwear Nursing Clothes Beauty Uniform Shirt mujer","USD 12.32","USD 7.64","38%","USD","8.0","USD 0.61","29","58.0%","https://s.click.aliexpress.com/e/_DFqZxrd"
"4000844294763","https://ae04.alicdn.com/kf/Hd3b93a3ffb92400dbfc4cc9f2bbe2f2eC.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/318085083638.mp4","Latin Dance Clothing 2020 Long Sleeve Performance Dress Dress Dance Clothes Dance Clothes Sexy Latin Dance Dress New","USD 29.99","USD 29.99","0%","USD","7","USD 2.10","70","100.0%","https://s.click.aliexpress.com/e/_Dcg9dkX"
"1005001621356420","https://ae04.alicdn.com/kf/H7e57b89b75a54548ad4a5a031d61583cW.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/297938927253.mp4","Golden Age New Belly Dance Practice Clothes Women Oriental Dance Long Big Swing Skirt Long Dance Clothes 2-5pcs Belly Dance Suit","USD 24.99","USD 22.74","9%","USD","7","USD 1.59","25","92.0%","https://s.click.aliexpress.com/e/_DchQhyn"
"1005002618095472","https://ae04.alicdn.com/kf/H77abf0e2a10545bdaad91158a2d96a51B.jpg",,"ZK20 Dropshipping Raincoat Camping Rain Jacket Men/Women Waterproof Sun Protection Clothes Dry Skin Windbreaker with Pocket","USD 11.12","USD 8.90","20%","USD","7","USD 0.62","49","96.4%","https://s.click.aliexpress.com/e/_DkM5Hb5"
"1005003153775176","https://ae04.alicdn.com/kf/S62e72aba5c0f40faab96370721cf4d1dq.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/322095980470.mp4","Aesthetic T Shirt Graphic Loose Aesthetic Tops Pulovers Elegant Short Sleeve Casual Clothes Midi Korean Women's T-shirt Summer","USD 30.38","USD 15.19","50%","USD","9","USD 1.37","28","80.0%","https://s.click.aliexpress.com/e/_DdIsyIJ"
"1005004198167693","https://ae04.alicdn.com/kf/Sb0641c93b876484c970fee011b7e493dQ.jpg",,"Women's Sportswear Sports Trousers Quick-Drying Casual Pants Fitness Clothes Running Sweatpants","USD 10.95","USD 8.76","20%","USD","7","USD 0.61","46","85.0%","https://s.click.aliexpress.com/e/_Dds5UFZ"
