"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004031203789","https://ae04.alicdn.com/kf/S78deccd6f85a44f883905550efc7e6b2A.jpg",,"Kids Spring Harem Rompers with Hooded Boys Cotton Striped Jumpsuits Newborn Fashion Body Suit 2022 New","USD 17.68","USD 12.38","30%","USD","7","USD 0.87","0","null%","https://s.click.aliexpress.com/e/_Dnpa567"
"1005004839144037","https://ae04.alicdn.com/kf/S867c44651a4b4fb3843b9c995e46fa6a0.jpg",,"Brand Baby Romper Girls Rompers Kids Spring Clothes Newborn Boys Baby Body Girls Cartoon Clothing Long Sleeve Clothes","USD 13.55","USD 7.86","42%","USD","7","USD 0.55","0","null%","https://s.click.aliexpress.com/e/_Dd1P4OR"
"1005002051011251","https://ae04.alicdn.com/kf/S81ee2e6561884cd58f5c2c5c96b294d8T.jpeg",,"Body crumb I ""suspenders"" Bodysuits One Pieces Baby Clothing Mother Kids","USD 26.08","USD 8.35","68%","USD","7","USD 0.58","0","null%","https://s.click.aliexpress.com/e/_DmEc9mj"
"32849676159","https://ae04.alicdn.com/kf/HTB1877JqWSWBuNjSsrbq6y0mVXaf.jpg",,"Christmas White Summer Baby Boys Girls Rompers Short Sleeve Kids Body Suits Child Clothing Newborn Jumpsuits 0-24Months Outwear","USD 4.99","USD 4.74","5%","USD","7","USD 0.33","0","null%","https://s.click.aliexpress.com/e/_DdS8HBV"
"1005002051039169","https://ae04.alicdn.com/kf/Sf4e128860cec45f49ebc1cbe23d80415E.jpeg",,"Body baby I Black Bow, Dress clothes for kids Mother and children Girls Bodysuits One Pieces Clothing","USD 29.08","USD 9.31","68%","USD","7","USD 0.65","0","null%","https://s.click.aliexpress.com/e/_DBQHmWB"
"4000496637982","https://ae04.alicdn.com/kf/He65ac9c9083343048bffb2f6fe9ebe1ft.jpg",,"0-18M Newborn Kid Baby Boy Girl Clothes Long Sleeve Denim Romper Casual Plain Body Top Sunsuit New born Cute Sweet Outfit","USD 5.57","USD 5.01","10%","USD","7","USD 0.35","9","100.0%","https://s.click.aliexpress.com/e/_DlbHos3"
"32742231178","https://ae04.alicdn.com/kf/HTB1hvDHX6fguuRjSspkq6xchpXa2.jpg",,"Long Sleeve Bodysuit For Baby Boy Girl Fashion 2022 O-neck Bodysuits Infant Clothing Set Unisex Newborn Body Suit Costume Cotton","USD 14.70","USD 8.53","42%","USD","7","USD 0.60","2","80.0%","https://s.click.aliexpress.com/e/_DBAcYOB"
"1005002354203588","https://ae04.alicdn.com/kf/Ha8262c2497e44e05890cb9f170b69f2aM.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/302819033067.mp4","Summer Clothing Baby Body Rompers Clothing Babies Toddler's Clothes Cotton Costume Onesie Kids Pyjamsa Newborn Infant","USD 13.19","USD 9.89","25%","USD","7","USD 0.69","0","0.0%","https://s.click.aliexpress.com/e/_Dd1LC5z"
"1005003730157250","https://ae04.alicdn.com/kf/H0c3445d93f4b42a08899171fea94efd1m.jpg",,"L1050 Baby Cotton Coming Soon 2022 Newborn Baby Bodysuits Summer Boys Girls Romper Body Good Quality Clothes","USD 19.56","USD 19.56","0%","USD","7","USD 1.37","0","null%","https://s.click.aliexpress.com/e/_Dm1WJwb"
"1005004637993945","https://ae04.alicdn.com/kf/S7adecb22c66942c3a8ce833d585ce62aQ.jpg",,"Soft Thicken Cotton Baby Clothes New Born Infant Baby Romper Body Suits Autumn Winter Kids Warm Jumpsuits Bottoming Rompers","USD 19.18","USD 9.59","50%","USD","7","USD 0.67","0","null%","https://s.click.aliexpress.com/e/_DB8HBH1"
"4000111856444","https://ae04.alicdn.com/kf/Ha386df2d9bf64d23b2f06b81f41534d4f.jpg",,"The Big One Fishing Newborn Baby Clothes Boy Girl Kids Cotton Cute Funny Body Kawaii Infant Outfits Short Sleeves Baby Onesie","USD 4.99","USD 4.29","14%","USD","7","USD 0.30","0","null%","https://s.click.aliexpress.com/e/_DmD1EcT"
"32830179831","https://ae04.alicdn.com/kf/HTB17nscXPoIL1JjSZFyq6zFBpXax.jpg",,"Baby jumpsuit 100% cotton baby body clothes baby boy romper short sleeves summer kids clothes baby body suit front stripe romper","USD 6.85","USD 6.85","0%","USD","7","USD 0.48","0","0.0%","https://s.click.aliexpress.com/e/_DnnlbAj"
"1005003000895984","https://ae04.alicdn.com/kf/H63147a043cfd4a78850c417f58dfefb3I.jpg",,"0-3T Newborn Kid Baby Girls Flower Clothes Short Sleeve Lace Floral Romper Elegant Cute Sweet Cotton Princess Jumpsuit Body suit","USD 10.36","USD 7.25","30%","USD","7","USD 0.51","13","100.0%","https://s.click.aliexpress.com/e/_DkdS8UT"
"33063107094","https://ae04.alicdn.com/kf/HTB1MKikX9f2gK0jSZFPq6xsopXaX.jpg",,"Baby Boys Girls Body Grandmother Waited a Long Time for Me Funny Printing Newborn Cotton Playsuits Clothes Kids Cute Body 0-24M","USD 3.19","USD 2.49","22%","USD","7","USD 0.17","0","0.0%","https://s.click.aliexpress.com/e/_DCjASEr"
"4001201272864","https://ae04.alicdn.com/kf/Heac64c84d125476398767d43a42e810f4.jpg",,"0-24M Newborn Kid Baby Girl Boy Clothes Summer Sleeveless Loose Romper Solid Casual Plain Body Top Cute Sweet Sunsuit Outfit","USD 4.30","USD 3.87","10%","USD","7","USD 0.27","0","0.0%","https://s.click.aliexpress.com/e/_DFpIvYJ"
"32895889302","https://ae04.alicdn.com/kf/HTB1d1cJk7UmBKNjSZFOq6yb2XXa4.jpg",,"Newborn Baby Boys Girls Bodysuit Summer Short Sleeve Infant Kids Cotton Body Clothing Outfit Playsuit Arrow Kids Jumpsuits 0-24M","USD 4.99","USD 2.69","46%","USD","7","USD 0.19","0","null%","https://s.click.aliexpress.com/e/_Dd0JTF9"
"4001188032119","https://ae04.alicdn.com/kf/Hb9c763a757e74a129259b1b596d889b4I.jpg",,"Baby Boy Clothes Bodysuit Babies Body Newborn Infant Toddler Girl Jumpsuit Cartoon Long Sleeve Cotton Solid Onesie Kids Clothing","USD 10.80","USD 8.42","22%","USD","7","USD 0.59","0","null%","https://s.click.aliexpress.com/e/_Dduz3bl"
"32855116391","https://ae04.alicdn.com/kf/HTB1dLdzchGYBuNjy0Fnq6x5lpXaD.jpg",,"Baby clothes bodysuit long sleeves 100% cotton children clothing baby boy girls jumpsuit kids clothes overalls body suit pyjamas","USD 7.99","USD 7.99","0%","USD","7","USD 0.56","0","100.0%","https://s.click.aliexpress.com/e/_DmouPxd"
"1005003000994533","https://ae04.alicdn.com/kf/H0cbc1b98bc5f46ef813864481b6ea81bU.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/318394437266.mp4","0-24M Baby Girl Floral Romper Elegant Toddler Kid Clothes Long Sleeve Flower Print Jumpsuit Cute Sweet Body suit New born Outfit","USD 11.99","USD 8.39","30%","USD","7","USD 0.59","1","100.0%","https://s.click.aliexpress.com/e/_DlNm8Rt"
