"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004442583878","https://ae04.alicdn.com/kf/S0a4d3fd949674895ace892fbab28b12aI.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100054706922.mp4","Autumn Baby Girls Boys Bodysuits Cartoon Sun Print Long Sleeve Romper Loose Cotton Infant Kids Hooded Body Bebe Fille Strampler","USD 16.11","USD 11.44","29%","USD","8.0","USD 0.92","442","95.4%","https://s.click.aliexpress.com/e/_DDrUOQP"
"1005003802768932","https://ae04.alicdn.com/kf/S9bd917e85da441ee83043d0bc2d7bcd8P.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/345911723039.mp4","Newborn Baby Boys Girls Cartoon Cotton Kids Rompers Summer Children Infant Body Short Sleeve Girl Jumpsuit Printed Baby Clothes","USD 6.18","USD 4.45","28%","USD","7","USD 0.31","33","92.9%","https://s.click.aliexpress.com/e/_DENos6f"
"32807821681","https://ae04.alicdn.com/kf/HTB1vMaQmiMnBKNjSZFoq6zOSFXa5.jpg",,"sleeveless bodysuit for baby boy girl summer clothes 3pcs/set 2020 newborn body suit cotton fashion bodysuits clothing 6-24M","USD 19.10","USD 13.94","27%","USD","7","USD 0.98","20","100.0%","https://s.click.aliexpress.com/e/_Dku8i8x"
"1005001652793734","https://ae04.alicdn.com/kf/Aeacf003288394f8caf3ff554b3f7e494E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100053235140.mp4","Baby Bodysuit Fashion 3/5pieces/lot Newborn Body Baby Long Sleeve Overalls Infant Boy Girl Jumpsuit kid clothes Pajamas bebe","USD 18.61","USD 10.24","45%","USD","10.0","USD 1.02","25","100.0%","https://s.click.aliexpress.com/e/_DFSw2qR"
"1005003314409866","https://ae04.alicdn.com/kf/Sc09f353133f74ffb8c3b1dde6c6b6741g.jpeg",,"Body Baby I Cute white, Bodysuits for babies Children's clothing Bodysuit Clothes kids infants Mother and Child goods supplies One Pieces","USD 35.69","USD 11.42","68%","USD","7","USD 0.80","0","null%","https://s.click.aliexpress.com/e/_DkYWkbp"
"1005004510283213","https://ae04.alicdn.com/kf/Sd9b48e19d83b4c01b5a4968ecc0e700dG.jpg",,"Baby Bodysuits Newborn Infant Kids Girl Body Suits Clothes Sweater Handmade Embroidery Autumn Knit Toddler Jumpsuits Overalls","USD 20.19","USD 9.69","52%","USD","7","USD 0.68","1","null%","https://s.click.aliexpress.com/e/_DlA2d91"
"1005002960004213","https://ae04.alicdn.com/kf/H3b3734fe3a5243bd98a97c34e37d0bceR.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/320768740344.mp4","0-24M Newborn Kid Baby Girls Boys Clothes Autumn Winter Long Sleeve Print Romper Cute Cotton Jumpsuit New born Lovely Body suit","USD 8.34","USD 5.84","30%","USD","7","USD 0.41","65","100.0%","https://s.click.aliexpress.com/e/_DCo7c7Z"
"1005002774844926","https://ae04.alicdn.com/kf/Hba33b4eecebd43d7a8bf452564c4f77fd.jpg",,"Baby Navy Romper Summer Newborn Kids Boys Girls Sailor Jumpsuit Hat 2Pcs Body Short Sleeve Anchor Printed Suit","USD 13.91","USD 9.74","30%","USD","7","USD 0.68","32","92.5%","https://s.click.aliexpress.com/e/_DdrfB0r"
"1005003461115345","https://ae04.alicdn.com/kf/H0d31df5ab4324f25b59ba53d3c4feca5k.jpg",,"My First Hanukkah Chanukah Newborn Baby Summer Rompers Infant Body Long Sleeve Jumpsuit Boy Girl Bodysuits Kids Festive Clothes","USD 6.93","USD 4.16","40%","USD","7","USD 0.29","56","100.0%","https://s.click.aliexpress.com/e/_Dmjxzth"
"1005003000977728","https://ae04.alicdn.com/kf/H993fab872ff74d869146845df57eccddm.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/318394757296.mp4","0-24M Newborn Kid Baby Boys Girls Clothes Summer Short Sleeve Romper Print Cute Sweet Cotton Jumpsuit Lovely Body suit Outfit","USD 3.23","USD 2.26","30%","USD","7","USD 0.16","3","100.0%","https://s.click.aliexpress.com/e/_DdBYOG7"
"1005004840408852","https://ae04.alicdn.com/kf/S33d882e23df54f5f89cf89b161b12e32N.jpg",,"Baby Girls Boys Smiley Face Sweatshirt Romper Long Sleeve Romper Loose Cotton Infant Kids Hooded Body Bebe Fille Strampler Hot","USD 22.32","USD 8.93","60%","USD","7","USD 0.63","26","100.0%","https://s.click.aliexpress.com/e/_DCAo6qf"
"4000065020534","https://ae04.alicdn.com/kf/Hef42b91a2b624e14ace26f09cf0f64d2n.jpg",,"New born Baby Bodysuits Clothing Cotton One-Pieces Body Suits Kids Baby Girl Mesh Long Sleeve Lace Bodysuit Outfit Clothes","USD 3.29","USD 3.29","0%","USD","7","USD 0.23","45","99.3%","https://s.click.aliexpress.com/e/_DDjwUaR"
"1005004635539680","https://ae04.alicdn.com/kf/S86ea9d767a5e40e897e511d08c87a7acW.jpeg",,"Body Kroshka Ya My first NG long sleeve red Bodysuits One Pieces Baby Clothing Mother Kids","USD 31.39","USD 10.99","0%","USD","7","USD 0.77","0","null%","https://s.click.aliexpress.com/e/_DB2Q2ll"
"1005004533367323","https://ae04.alicdn.com/kf/S7c858d7db69342e58bda0a34930c597aN.jpg",,"Disney Kids Baby Newborn Summer Rompers 100% Cotton Cute Cartoon Infant Body Short Sleeve Jumpsuit Sweet Boy Girl Clothes","USD 13.09","USD 7.59","42%","USD","8.0","USD 0.61","13","100.0%","https://s.click.aliexpress.com/e/_DBp8TLV"
"1005003708044965","https://ae04.alicdn.com/kf/Sbf14e7df608c43b4bf2748b2d765fa37H.jpeg",,"Body Baby I Lovely girl pink, Bodysuit dress clothes for babies Bodysuits One Pieces Clothing Mother Kids","USD 28.27","USD 9.05","68%","USD","7","USD 0.63","1","0.0%","https://s.click.aliexpress.com/e/_DCYgiTD"
"32839488975","https://ae04.alicdn.com/kf/HTB12hTVX8fM8KJjSZFOq6xr5XXaq.jpg",,"Baby clothes baby vestidos romper jumpsuit baby overalls body suit summer vest Baby sleeveless 100% Cotton pyjamas kids","USD 7.55","USD 7.55","0%","USD","7","USD 0.53","0","0.0%","https://s.click.aliexpress.com/e/_Dl9cTex"
"1005003476618268","https://ae04.alicdn.com/kf/Hee98501f98fa41f48279516d7c529f728.jpg",,"Baby Bodysuit Infant Jumpsuit Overall Long Sleeve Body Suit Baby Boys Girls Clothing O-Neck E Cotton Kids Bodysuit Baby Clothes","USD 5.00","USD 4.90","2%","USD","7","USD 0.34","0","null%","https://s.click.aliexpress.com/e/_Dleypdh"
"1005004711356791","https://ae04.alicdn.com/kf/S6b76e29cc326482c90990fab4871398bl.jpg",,"Newborn Infant Baby Bodysuits Soilid Sleeveless Knitted Kids Boys Girls Onesie Body Tops 0-18m Toddler Netural One-Piece Sunsuit","USD 11.26","USD 6.76","40%","USD","7","USD 0.47","0","null%","https://s.click.aliexpress.com/e/_DE4Z0FZ"
"1005003547061330","https://ae04.alicdn.com/kf/Hd903a068bc7d4201bdcfae583957b514E.jpg",,"Little Gentleman Funny Newborn Baby Summer Rompers Infant Body Short Sleeve Baby Jumpsuit Kid Boy Girl New Born Bodysuit Clothes","USD 7.11","USD 4.27","40%","USD","7","USD 0.30","32","100.0%","https://s.click.aliexpress.com/e/_DCs6FJN"
"32965289431","https://ae04.alicdn.com/kf/Haaeea46ab68b42fd9f421eb0f7431ad6F.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/320908805583.mp4","Baby Bodysuit Fashion 1pieces/lot Newborn Body Baby long Sleeve Overalls Infant Boy Girl Jumpsuit kid clothes","USD 3.40","USD 2.89","15%","USD","11.5","USD 0.33","89","99.2%","https://s.click.aliexpress.com/e/_DmkYEgb"
"1005003001089758","https://ae04.alicdn.com/kf/H08fbb4091e1b4785a904d2d97fe5dae8E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/318396377356.mp4","0-3T Newborn Kid Baby Girls Clothes Summer Lace Romper Elegant Cute Sweet Jumpsuit Princess Body suit New born Outfit","USD 8.66","USD 6.06","30%","USD","7","USD 0.42","5","100.0%","https://s.click.aliexpress.com/e/_DdeKymB"
"32961633943","https://ae04.alicdn.com/kf/HTB18rKdK7voK1RjSZFDq6xY3pXac.jpg",,"Sleeveless Bodysuit For Summer Baby Girl Clothes Newborn Boy Bodysuits 2021 New Born Clothing Body Suit 5pcs/Set 6-24 Month","USD 20.67","USD 14.06","32%","USD","7","USD 0.98","23","90.0%","https://s.click.aliexpress.com/e/_DDOqdT9"
"4001054369268","https://ae04.alicdn.com/kf/Hf0aa6f6547e44721856d5c6ab8becf65G.jpg",,"Baby Bodysuits 100%Cotton Knitted Infant Kids Jumpsuits Autumn Sleeveless Newborn Boys Girls Body Suit Clothes One Piece Outfits","USD 12.53","USD 6.89","45%","USD","7","USD 0.48","25","93.3%","https://s.click.aliexpress.com/e/_DESAoOr"
"1005001583216105","https://ae04.alicdn.com/kf/Hc5eae480f7b140f88b1f0d13e2851393l.jpg",,"Newborn Body Suit Todder Clothes Set Baby Girl Cotton Short Sleeve Bodysuit Kid Clothes Set Girls Sunsuit Infant Clothing","USD 2.05","USD 1.43","30%","USD","8.0","USD 0.11","1211","93.9%","https://s.click.aliexpress.com/e/_DlV7lmL"
"1005003001086933","https://ae04.alicdn.com/kf/Hd0eeb1007ed34a82865cf4924e111ac5Q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/319115587157.mp4","0-3T Newborn Kid Baby Boys Girls Clothes Short Sleeve Striped Romper Summer Jumpsuit Cute Sweet Cotton New born Body suit Outfit","USD 8.12","USD 5.68","30%","USD","7","USD 0.40","6","100.0%","https://s.click.aliexpress.com/e/_DETRznz"
