"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003534041839","https://ae04.alicdn.com/kf/H09bea2a883fa490e9cc84db63af74593e.jpg",,"Autumn Winter Women Cute Onesies Pajamas Coral Fleece Warm Cartoon Bear Ears Hooded Sleepwear Girls Sweet Home Clothes Pyjamas","USD 39.70","USD 23.42","41%","USD","7","USD 1.64","26","90.0%","https://s.click.aliexpress.com/e/_DdkE3xH"
"1005003034853039","https://ae04.alicdn.com/kf/Ha1472b9c3a9c4b5387ace0f10557fa02R.jpg",,"MORE LIKE JESUS LESS ME Print Women T Shirt Short Sleeve O Neck Loose Women Tshirt Ladies Tee Shirt Tops Clothes Camisetas Mujer","USD 1.50","USD 1.24","17%","USD","12.0","USD 0.15","49","100.0%","https://s.click.aliexpress.com/e/_DEFUsan"
"1005004381252516","https://ae04.alicdn.com/kf/Scc6928121628479a8290c6011aff68d2l.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100084197082.mp4","Women Vintage Y2K Streetwear Baggy Cargo Jeans High Waisted Straight Wide Leg Pants Denim Trousers Fairy Grunge Alt Clothes","USD 15.20","USD 10.64","30%","USD","10.0","USD 1.06","345","89.4%","https://s.click.aliexpress.com/e/_DBr0B4r"
"1005002651259333","https://ae04.alicdn.com/kf/H66b5da8793534bd494368c13541cf78ce.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/329498336765.mp4","1pair Bra Pad Triangle Cups Chest Insert Foam Pads Bikini Swimsuit Padding Removeable Enhancer Bra Pad Women Clothes Accessories","USD 0.48","USD 0.27","43%","USD","7","USD 0.02","58","100.0%","https://s.click.aliexpress.com/e/_DBeksaR"
"4001359621681","https://ae04.alicdn.com/kf/Hb7a6eb91d8234f6cb02d9b88648511e1z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/270307092352.mp4","Sexy Women Leggings Women Thin Leggings Through The Meat Warm Pants Women's Leggings Warm Mesh Leggins For Womens Winter Clothes","USD 6.99","USD 4.89","30%","USD","7","USD 0.34","61","77.5%","https://s.click.aliexpress.com/e/_DBMQtCJ"
"1005003445679525","https://ae04.alicdn.com/kf/Sed61cc2406b34cb2835394a5fbddfb7aX.jpg",,"Spring Autumn New Windbreaker Women's Korean Version Waist Slim High-end Atmospheric Ladies' Long Trench Coat for Women Clothes","USD 22.56","USD 22.56","0%","USD","9","USD 2.03","115","84.5%","https://s.click.aliexpress.com/e/_DCFIp9p"
"1005003580415405","https://ae04.alicdn.com/kf/S6bbf33d78bfb4808af9b193dce15f968j.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100012842457.mp4","Genshin Impact  Lumine Cosplay Costumes  Halloween Party Game Clothes for Women Girls Cute Suit Wig Shoes Full Sets","USD 30.03","USD 14.11","53%","USD","7","USD 0.99","174","89.1%","https://s.click.aliexpress.com/e/_DDpSFt1"
"1005003066606285","https://ae04.alicdn.com/kf/S91f939e9e17541d3af17e27435ec4deeB.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/319541336230.mp4","Belly Dance Suit Sling Top Off Shoulder Sleeves Split Skirt Practice Clothes Aldult Oriental Women Dancing Performance Clothing","USD 38.50","USD 26.95","30%","USD","7","USD 1.89","65","96.7%","https://s.click.aliexpress.com/e/_DErmddh"
"1005003192202589","https://ae04.alicdn.com/kf/H94ab38640e44456b9659f29e33bdef52P.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/318787717080.mp4","Women Crop Top Ballet T shirt Lace Dance Tops Ballerina Dancewear Half Sleeve Ballet Clothes Classic Costumes for Dancing Tops","USD 29.98","USD 9.89","67%","USD","8.0","USD 0.79","51","98.5%","https://s.click.aliexpress.com/e/_DFHQYiR"
"1005004515389754","https://ae04.alicdn.com/kf/Sb377c1150a1545c9a9b97a5b8ace1e5aU.jpg",,"2022 Women's Winter Coat Coated PU Super Warm Hooded Parker Down Jacket New Ladies High Quality Jacket Coat y2k Clothes traf bra","USD 289.99","USD 147.89","49%","USD","9","USD 13.31","52","100.0%","https://s.click.aliexpress.com/e/_DFpop8P"
"1005003176745027","https://ae04.alicdn.com/kf/S9477cf871fd54ddebb56fa55378d57aaI.jpg",,"Spring Autumn Korean Fashion Women Turtleneck Cotton Long Sleeve Oversized T Shirt High Stretch Slim Tops Clothes Blusa Feminina","USD 9.98","USD 4.99","50%","USD","9.0","USD 0.45","68","88.0%","https://s.click.aliexpress.com/e/_DkqwFsf"
