Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Men's Sets,200003495,Unisex Tracksuits Hooded Sports Suit Men Women Casual Solid Color Hoodie and Pants 2 Pieces Set Sportswear Jogging Suits,1005003887367293,https://ae01.alicdn.com/kf/Sa7af36e5b9ac4ee792bf4bec6b101aa8G/Unisex-Tracksuits-Hooded-Sports-Suit-Men-Women-Casual-Solid-Color-Hoodie-and-Pants-2-Pieces-Set.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa7af36e5b9ac4ee792bf4bec6b101aa8G.jpg,https://ae04.alicdn.com/kf/S0b212171fd274a43aeb374c91e2076dbk.jpg,https://ae04.alicdn.com/kf/S2c53efadfbc04047bf4f2c7b8368bcd38.jpg,https://ae04.alicdn.com/kf/S471eda78f2264a1db05f7ff6b50e31caM.jpg,https://ae04.alicdn.com/kf/S39c4745072004e2c84877614361f3b19U.jpg,",https://www.aliexpress.com/item/1005003887367293.html,49.56,24.78,40.00%,,50%,https://s.click.aliexpress.com/e/_AX9IAz
Men's Sets,200003495,2022 Men's 3D Printed T Shirt Set O Neck Short Sleeve Oversized T Shirt 2 Piece Activewear Set XXS-6XL New,1005003887171064,https://ae01.alicdn.com/kf/S5a6ad0a7ed7442b381c6c372448732d5L/2022-Men-s-3D-Printed-T-Shirt-Set-O-Neck-Short-Sleeve-Oversized-T-Shirt-2.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S5a6ad0a7ed7442b381c6c372448732d5L.jpg,https://ae04.alicdn.com/kf/S2aacf553d5874846afe7e6b1500cd2fb0.jpg,https://ae04.alicdn.com/kf/Sf0b0ee3918f24201a7ee1e9c77a88a0b4.jpg,https://ae04.alicdn.com/kf/S138c628a97dc4c088427fe01f93f5f5d0.jpg,https://ae04.alicdn.com/kf/S079e846208b34b4ea1624792e09271c6n.jpg,",https://www.aliexpress.com/item/1005003887171064.html,26.60,14.10,9.00%,,47%,https://s.click.aliexpress.com/e/_A3LBb3
Men's Sets,200003495,Summer Fashion 2021 Men's Gold Luxury Designer Men's Shirt Set Men's Fancy Flowery Print Hawaii Beach Short Sleeve Club,1005002920775421,https://ae01.alicdn.com/kf/Hdc6bf175092b4f4386f86caf37fe245dh/Summer-Fashion-2021-Men-s-Gold-Luxury-Designer-Men-s-Shirt-Set-Men-s-Fancy-Flowery.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdc6bf175092b4f4386f86caf37fe245dh.jpg,https://ae04.alicdn.com/kf/H0da8b9760431452b89a1505c25127411I.jpg,https://ae04.alicdn.com/kf/Hbdef5eea56494371969cbe0cbb6a63832.jpg,https://ae04.alicdn.com/kf/H2278659f2db0402181681a3c7f4225e8c.jpg,https://ae04.alicdn.com/kf/H5208ef48cb4e4e16ba00eeb0fbb6e7828.jpg,",https://www.aliexpress.com/item/1005002920775421.html,24.98,24.98,10.00%,,0%,https://s.click.aliexpress.com/e/_A0y2Ff
Men's Sets,200003495,Summer T-shirt set in summer 2021 new Hawaiian men's wear breathable quick dry thin sleeves printed shirt + shorts 2 pieces of m,1005002925101811,https://ae01.alicdn.com/kf/H2278659f2db0402181681a3c7f4225e8c/Summer-T-shirt-set-in-summer-2021-new-Hawaiian-men-s-wear-breathable-quick-dry-thin.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2278659f2db0402181681a3c7f4225e8c.jpg,https://ae04.alicdn.com/kf/H5208ef48cb4e4e16ba00eeb0fbb6e7828.jpg,https://ae04.alicdn.com/kf/Hbdef5eea56494371969cbe0cbb6a63832.jpg,https://ae04.alicdn.com/kf/H0da8b9760431452b89a1505c25127411I.jpg,https://ae04.alicdn.com/kf/Hdc6bf175092b4f4386f86caf37fe245dh.jpg,",https://www.aliexpress.com/item/1005002925101811.html,24.98,24.98,10.00%,,0%,https://s.click.aliexpress.com/e/_AXbv2Z
Men's Sets,200003495,2022 Harajuku Sports Suit Men's Summer Casual Sports Suit Short Matching Suit Graffiti 3D Printing Plus Size Clothes Summer,1005003887192026,https://ae01.alicdn.com/kf/Sdd07a4a750824b639afb4140b1388b41n/2022-Harajuku-Sports-Suit-Men-s-Summer-Casual-Sports-Suit-Short-Matching-Suit-Graffiti-3D-Printing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sdd07a4a750824b639afb4140b1388b41n.jpg,https://ae04.alicdn.com/kf/S076834402e3643deb4ea953a3d26cfcfc.jpg,https://ae04.alicdn.com/kf/Seb8f849b38a44574897f3a21b80a321bO.jpg,https://ae04.alicdn.com/kf/S20dfff2af5ba448f89d24fab481b84383.jpg,https://ae04.alicdn.com/kf/Sb83381c774a1463e8c0d851f7cc3296dQ.jpg,",https://www.aliexpress.com/item/1005003887192026.html,26.60,14.10,9.00%,,47%,https://s.click.aliexpress.com/e/_AKk7W1
Men's Sets,200003495,2022 Men's O-Neck Comfort Suit 3D Gradient Patchwork Jogging Training Wear Sportswear Short Sleeve + Shorts Sportswear Set,1005003887086139,https://ae01.alicdn.com/kf/S65867958f5f44a2badf1f80d7b646507f/2022-Men-s-O-Neck-Comfort-Suit-3D-Gradient-Patchwork-Jogging-Training-Wear-Sportswear-Short-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S65867958f5f44a2badf1f80d7b646507f.jpg,https://ae04.alicdn.com/kf/Sad275f3283cd4066ad35456b3be12f56z.jpg,https://ae04.alicdn.com/kf/S1f66c01f582e4eca8c66aa9593a5e62fI.jpg,https://ae04.alicdn.com/kf/S6cbb6777b66b461e8cbcc74343f9d93fw.jpg,https://ae04.alicdn.com/kf/Sb15fceb08257457388fa61f25ac35c4d9.jpg,",https://www.aliexpress.com/item/1005003887086139.html,26.60,14.10,9.00%,,47%,https://s.click.aliexpress.com/e/_AdJvuH
Men's Sets,200003495,Fashionable fashionable brand men's sportswear and trouser suit men's and women's casual sportswear hoodie new printed autumn/wi,1005003885116077,https://ae01.alicdn.com/kf/Sfc5ecbc8cb704b4e846a9fbf50e3cae53/Fashionable-fashionable-brand-men-s-sportswear-and-trouser-suit-men-s-and-women-s-casual-sportswear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sfc5ecbc8cb704b4e846a9fbf50e3cae53.jpg,https://ae04.alicdn.com/kf/Se9a0e07a01674b94a547e0855bd738a5Y.jpg,https://ae04.alicdn.com/kf/S341e04c3b1fd45adbf38b18ff3c3fd8ab.jpg,https://ae04.alicdn.com/kf/S50faa6e9b8e04a87909c9ba6a4a0f0403.jpg,https://ae04.alicdn.com/kf/Sf21ac5ae46d242b5b3c6fe7244a4313f0.jpg,",https://www.aliexpress.com/item/1005003885116077.html,45.98,20.69,10.00%,,55%,https://s.click.aliexpress.com/e/_9IqAgt
Men's Sets,200003495,"Summer 2021 new floral print short-sleeved shirt suit, casual, slim lapels, men's two-piece suit",1005002919065313,https://ae01.alicdn.com/kf/H5208ef48cb4e4e16ba00eeb0fbb6e7828/Summer-2021-new-floral-print-short-sleeved-shirt-suit-casual-slim-lapels-men-s-two-piece.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5208ef48cb4e4e16ba00eeb0fbb6e7828.jpg,https://ae04.alicdn.com/kf/Hbdef5eea56494371969cbe0cbb6a63832.jpg,https://ae04.alicdn.com/kf/H2278659f2db0402181681a3c7f4225e8c.jpg,https://ae04.alicdn.com/kf/H0da8b9760431452b89a1505c25127411I.jpg,https://ae04.alicdn.com/kf/Hdc6bf175092b4f4386f86caf37fe245dh.jpg,",https://www.aliexpress.com/item/1005002919065313.html,24.98,24.98,10.00%,,0%,https://s.click.aliexpress.com/e/_9fVElF
Men's Sets,200003495,New 2022 Men's 2 Piece Printed Sportswear Men's Hoodie + Pants Casual Sportswear,1005003886896898,https://ae01.alicdn.com/kf/S440970980cd6451ba861326e76dfe870w/New-2022-Men-s-2-Piece-Printed-Sportswear-Men-s-Hoodie-Pants-Casual-Sportswear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S440970980cd6451ba861326e76dfe870w.jpg,https://ae04.alicdn.com/kf/Sa0dd362c5c1a4a9fb59acb7be65e278eu.jpg,https://ae04.alicdn.com/kf/S6d223f796e7947ca9cf8f7aa36e76beal.jpg,https://ae04.alicdn.com/kf/Se9e36120d215427895016b1eb3e88a78l.jpg,https://ae04.alicdn.com/kf/S5b4902af015c46ca883b4105d6716182D.jpg,",https://www.aliexpress.com/item/1005003886896898.html,50.20,22.59,9.00%,,55%,https://s.click.aliexpress.com/e/_AkZ0Od
Men's Sets,200003495,2021 Fashion Men's Fit Suit Lovely Fit Boy's Flower Suit Leisure Holiday Long Sleeve Suit Retretro Print Men's Trousers,1005002921438625,https://ae01.alicdn.com/kf/H8ff6ceac37fc4581adf0540464adfd3aH/2021-Fashion-Men-s-Fit-Suit-Lovely-Fit-Boy-s-Flower-Suit-Leisure-Holiday-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ff6ceac37fc4581adf0540464adfd3aH.jpg,https://ae04.alicdn.com/kf/He61d6a0c04234a5582b823275fb7541dC.jpg,https://ae04.alicdn.com/kf/Hd03fec0d43984838bda622d7cb94ee99j.jpg,https://ae04.alicdn.com/kf/Hfd360bd6344a4b4e80bb88d39df47863l.jpg,https://ae04.alicdn.com/kf/Ha1e1fac155ac4b92b9b2350ea81ca399x.jpg,",https://www.aliexpress.com/item/1005002921438625.html,27.28,27.28,10.00%,,0%,https://s.click.aliexpress.com/e/_A9jPHJ
