Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Pet Products,100006664,Plush Dog Sweatshirt Cute Cartoon Bear Print Pet Clothes For Small Dogs Puppy Warm Pullover Coat Yorkshire Terrier Cat Clothing,1005003747169618,https://ae01.alicdn.com/kf/Sac31ba584cf34ba5a0847dcbb97ab727z/Plush-Dog-Sweatshirt-Cute-Cartoon-Bear-Print-Pet-Clothes-For-Small-Dogs-Puppy-Warm-Pullover-Coat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sac31ba584cf34ba5a0847dcbb97ab727z.jpg,https://ae04.alicdn.com/kf/S646b8c7a865c493ea59a5c246c68a7ccs.jpg,https://ae04.alicdn.com/kf/S2aa7d0c55fae4ee4a3fe37a1a4befaebH.jpg,https://ae04.alicdn.com/kf/S2b7b6a8f455049509ff0bd6a274acb23I.jpg,https://ae04.alicdn.com/kf/S958ed77c00e742ceb334ab2a777abe4eO.jpg,",https://www.aliexpress.com/item/1005003747169618.html,5.65,4.41,8.00%,,22%,https://s.click.aliexpress.com/e/_A8cChU
Pet Products,100006664,Hot Sell New Cat Toy Sparrow Shaped Funny Bird Simulation Sound Toy Simulation Animal Toys Interactive Electronic Pet Supplies B,1005003777110700,https://ae01.alicdn.com/kf/S88c04fc0c512439a8c9df8e25e89a6a9C/Hot-Sell-New-Cat-Toy-Sparrow-Shaped-Funny-Bird-Simulation-Sound-Toy-Simulation-Animal-Toys-Interactive.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S88c04fc0c512439a8c9df8e25e89a6a9C.jpg,https://ae04.alicdn.com/kf/S283c52d2fa0a4482be980d4c3cffdc2az.jpg,https://ae04.alicdn.com/kf/Sff0ad27b450a48a1914d7ffaabc06efcU.jpg,https://ae04.alicdn.com/kf/S3c1f1537a69946d48ee63c12cd6976d8g.jpg,https://ae04.alicdn.com/kf/S627a67a1ded64f29b516ffd8f7e58b98q.jpg,",https://www.aliexpress.com/item/1005003777110700.html,22.52,11.26,15.00%,,50%,https://s.click.aliexpress.com/e/_AcCSGS
Pet Products,100006664,Hamster nest pet winter warm cotton nest Dutch pig nest Totoro nest honey bag nest hedgehog nest rabbit nest parrot,1005003776143390,https://ae01.alicdn.com/kf/Haede1b96e0514a1f8bfb2116a20ca8da0/Hamster-nest-pet-winter-warm-cotton-nest-Dutch-pig-nest-Totoro-nest-honey-bag-nest-hedgehog.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haede1b96e0514a1f8bfb2116a20ca8da0.jpg,https://ae04.alicdn.com/kf/H1bdaa58af47a4d1ebf4ae9894ef771dcf.jpg,https://ae04.alicdn.com/kf/H5691485e5fa14900a37d59d2f6858ae5f.jpg,https://ae04.alicdn.com/kf/H6189d9c8275047a1b45d147e9971df6cj.jpg,https://ae04.alicdn.com/kf/H983be7dbe3a8438983b6412c8286fe655.jpg,",https://www.aliexpress.com/item/1005003776143390.html,35.10,21.06,20.00%,,40%,https://s.click.aliexpress.com/e/_AsL4Sm
Pet Products,100006664,Cute Small Dogs Cats Pajamas Puppy Jumpsuit For Dog Warm Pyjama Suit For Chihuahua Pomeranian Overall Pet Medium Dog Clothes,1005003751627027,https://ae01.alicdn.com/kf/S4eeeda626227452981212eba1baec43e2/Cute-Small-Dogs-Cats-Pajamas-Puppy-Jumpsuit-For-Dog-Warm-Pyjama-Suit-For-Chihuahua-Pomeranian-Overall.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S4eeeda626227452981212eba1baec43e2.jpg,https://ae04.alicdn.com/kf/S035924fa65a5485bbd1058c44344871ah.jpg,https://ae04.alicdn.com/kf/S89e53bebf3d1483985386f24fe8adc2dz.jpg,https://ae04.alicdn.com/kf/S792a341df3ff4994b3972ea51ccde096o.jpg,https://ae04.alicdn.com/kf/S68d49ad0b44743e696da270375b6554bh.jpg,",https://www.aliexpress.com/item/1005003751627027.html,6.75,5.26,8.00%,,22%,https://s.click.aliexpress.com/e/_AV2Smq
Pet Products,100006664,Funny Dogs And Cats Toys Cotton Rope Pets Dog Throw Toys Cartoon Duck Pig Shaped Small Medium Dogs Squeaker Chew Training Toy,1005003777583527,https://ae01.alicdn.com/kf/S5c120666472a412c9c033dc8b910ebd1z/Funny-Dogs-And-Cats-Toys-Cotton-Rope-Pets-Dog-Throw-Toys-Cartoon-Duck-Pig-Shaped-Small.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S5c120666472a412c9c033dc8b910ebd1z.jpg,https://ae04.alicdn.com/kf/Sfb601f9d5bbd4f90b1d26fa1555036c73.jpg,https://ae04.alicdn.com/kf/S8f4ecad9bf074d4c9ba7975de5ea83485.jpg,https://ae04.alicdn.com/kf/S2d8cb7b94df84c9dabe30b92ff1e3350t.jpg,https://ae04.alicdn.com/kf/S7ab4c29674e145f6a57f7c2c1a6f8e82o.jpg,",https://www.aliexpress.com/item/1005003777583527.html,6.88,1.65,10.00%,,76%,https://s.click.aliexpress.com/e/_99jhCI
Pet Products,100006664,Cute Drill Bucket Foldable Interactive Cat Toys Three Layers Ring Paper Cat Tunnel Multiple Pattern Design For Small Medium Pet,1005003775696387,https://ae01.alicdn.com/kf/S83424545ded74fabb091200e66eb23bfh/Cute-Drill-Bucket-Foldable-Interactive-Cat-Toys-Three-Layers-Ring-Paper-Cat-Tunnel-Multiple-Pattern-Design.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S83424545ded74fabb091200e66eb23bfh.jpg,https://ae04.alicdn.com/kf/S9ef30e5550204bfaa14c446c4adf4a86Q.jpg,https://ae04.alicdn.com/kf/S88a96362b8c1475b8b38f2bce9ff3c1eu.jpg,https://ae04.alicdn.com/kf/Sf518f832cfc54d04bf1ca3dab3afbb663.jpg,https://ae04.alicdn.com/kf/Scb60b9b79c084057bf22e592034655b7D.jpg,",https://www.aliexpress.com/item/1005003775696387.html,14.10,8.32,30.00%,,41%,https://s.click.aliexpress.com/e/_AEuDtg
Pet Products,100006664,Small Dog Cat Floral Waterproof Jumpsuit Pet Windproof Coat Pets Rainwear Clothes for Big Dogs Puppy Raincoat Corgi Chihuahua,1005003749854980,https://ae01.alicdn.com/kf/S819b8255945840f199b59c6bf4d2a7cfj/Small-Dog-Cat-Floral-Waterproof-Jumpsuit-Pet-Windproof-Coat-Pets-Rainwear-Clothes-for-Big-Dogs-Puppy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S819b8255945840f199b59c6bf4d2a7cfj.jpg,https://ae04.alicdn.com/kf/Se3dc0e1eba314d33a14fc6207abda189H.jpg,https://ae04.alicdn.com/kf/S25e5385597a14c34a36821a23f7d8ed1D.jpg,https://ae04.alicdn.com/kf/Sa0d26662eca149baa529f3a670e692d8c.jpg,https://ae04.alicdn.com/kf/S6d9514992636485bbd9873ba20caf1fdN.jpg,",https://www.aliexpress.com/item/1005003749854980.html,11.36,8.86,8.00%,,22%,https://s.click.aliexpress.com/e/_9vRbq6
Pet Products,100006664,Winter Warm Dog Sleeveless Vest Soft Pet Clothing For Small Dogs Cat Puppy Knitting Pullover Jacket Chihuahua Sweatshirt Costume,1005003747000785,https://ae01.alicdn.com/kf/S088077c143064536b40313238d09458eF/Winter-Warm-Dog-Sleeveless-Vest-Soft-Pet-Clothing-For-Small-Dogs-Cat-Puppy-Knitting-Pullover-Jacket.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S088077c143064536b40313238d09458eF.jpg,https://ae04.alicdn.com/kf/S42b592a802c84e298cab602c0087ddbaf.jpg,https://ae04.alicdn.com/kf/S36ec15a4eada410b9d89a9b7ec790327f.jpg,https://ae04.alicdn.com/kf/Scca99b5ee48f4b4c858ac766c0d5c761g.jpg,https://ae04.alicdn.com/kf/S7d65ce9339084f168094e61c49564e09P.jpg,",https://www.aliexpress.com/item/1005003747000785.html,10.32,8.05,8.00%,,22%,https://s.click.aliexpress.com/e/_ANGQki
Pet Products,100006664,Fashion Dog Dress Smiley Dot Pet Dresses For Small Dogs Cats Puppy Wedding Dresses Yorkshire Chihuahua Princess Teddy Costumes,1005003750354193,https://ae01.alicdn.com/kf/S912bc1ea8ae14f2fb1a5638c5e38075e4/Fashion-Dog-Dress-Smiley-Dot-Pet-Dresses-For-Small-Dogs-Cats-Puppy-Wedding-Dresses-Yorkshire-Chihuahua.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S912bc1ea8ae14f2fb1a5638c5e38075e4.jpg,https://ae04.alicdn.com/kf/Sb5bd1e6c5334480fa6367ce10de31720l.jpg,https://ae04.alicdn.com/kf/Sea3e4f43fef84f1293f15f1499f1b456r.jpg,https://ae04.alicdn.com/kf/S874f28c789f84ad0b1a4d727a681dc78P.jpg,https://ae04.alicdn.com/kf/Se19d5cce2f1045e6af5253a56a2c4469c.jpg,",https://www.aliexpress.com/item/1005003750354193.html,10.49,8.18,8.00%,,22%,https://s.click.aliexpress.com/e/_99Dj6S
Pet Products,100006664,Warm Pet House Cage For Hamster Accessories Small Animal Nest Soft Comfort Squirrel Nest Guinea Pig House Rodent Hedgehog Bed,1005003776613891,https://ae01.alicdn.com/kf/S3bd14af0075e4e198632f17a849334868/Warm-Pet-House-Cage-For-Hamster-Accessories-Small-Animal-Nest-Soft-Comfort-Squirrel-Nest-Guinea-Pig.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S3bd14af0075e4e198632f17a849334868.jpg,https://ae04.alicdn.com/kf/S119d92ba00c849e08a3c8ad0a72a0375b.jpg,https://ae04.alicdn.com/kf/Scdc55254657a4115b22a79f398c9c703G.jpg,https://ae04.alicdn.com/kf/S7cdf76761da34381b2338d0f7b03485cY.jpg,https://ae04.alicdn.com/kf/S2aef39e26169454bb12869305cf440b43.jpg,",https://www.aliexpress.com/item/1005003776613891.html,35.10,21.06,20.00%,,40%,https://s.click.aliexpress.com/e/_AEmFxM
