Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Jeans,200000378,Jeans Men's Loose Straight Pants Elastic Waist Lace-Up Pants,1005003862317759,https://ae01.alicdn.com/kf/S4d64ba498568462db0faad23b7e5f149w/Jeans-Men-s-Loose-Straight-Pants-Elastic-Waist-Lace-Up-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S4d64ba498568462db0faad23b7e5f149w.jpg,https://ae04.alicdn.com/kf/S2afb3169c846498584d37ea81f235875B.jpg,https://ae04.alicdn.com/kf/S6a4adb66cf334ef2ab717bb8be10c46ai.jpg,https://ae04.alicdn.com/kf/S3740e3b25a594a58a6af621bc3bfc43a1.jpg,https://ae04.alicdn.com/kf/Sd827f8e32d774938ae865a567cae5f4eZ.jpg,",https://www.aliexpress.com/item/1005003862317759.html,50.00,25.50,9.00%,,49%,https://s.click.aliexpress.com/e/_A0Oa1L
Jeans,200000378,American Retro Jacquard Jeans Men Autum Summer Thin Street Ruffian Handsome Loose Pants Straight Drop Vintage Denim Distressed,1005003883996044,https://ae01.alicdn.com/kf/Se504af652b024b0399e29aad135edc62e/American-Retro-Jacquard-Jeans-Men-Autum-Summer-Thin-Street-Ruffian-Handsome-Loose-Pants-Straight-Drop-Vintage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Se504af652b024b0399e29aad135edc62e.jpg,https://ae04.alicdn.com/kf/Sf792be7082eb45b38c370709fd765323k.jpg,https://ae04.alicdn.com/kf/S5dbc233f037a45048e2c9758f142958fi.jpg,https://ae04.alicdn.com/kf/S826e41757a8c45dda31809c31156fa433.jpg,https://ae04.alicdn.com/kf/S6db17a283a36485b9d4db0d2d7d3df39g.jpg,",https://www.aliexpress.com/item/1005003883996044.html,9.98,7.98,9.00%,,20%,https://s.click.aliexpress.com/e/_A95olT
Jeans,200000378,Men's Brand Designer Jeans Pants Printed Baggy Hip Hop Denim Trousers Losse Fit Floral Jeans Fashion Design Jeans Printed Jeans,1005002862194452,https://ae01.alicdn.com/kf/Ha1753b74b2d740e8a36838f2ffb682690/Men-s-Brand-Designer-Jeans-Pants-Printed-Baggy-Hip-Hop-Denim-Trousers-Losse-Fit-Floral-Jeans.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha1753b74b2d740e8a36838f2ffb682690.jpg,https://ae04.alicdn.com/kf/Hc052b957fdab450780b9b6428ff396447.jpg,https://ae04.alicdn.com/kf/Hbf7aad371fa54ca0a1f20117ad8c61a53.jpg,https://ae04.alicdn.com/kf/Hacd2195c62d24e12addb12b7461aa51eI.jpg,https://ae04.alicdn.com/kf/H3c7c11650a0f435a8d46ea22e1e71676x.jpg,",https://www.aliexpress.com/item/1005002862194452.html,29.98,19.19,12.00%,,36%,https://s.click.aliexpress.com/e/_Adt6o1
Jeans,200000378,New jeans loose straight pants elastic waist tie,1005003862375800,https://ae01.alicdn.com/kf/S32b38c29e93746d3b938c7ba8c937fd6S/New-jeans-loose-straight-pants-elastic-waist-tie.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S32b38c29e93746d3b938c7ba8c937fd6S.jpg,https://ae04.alicdn.com/kf/S63dc25818198436f93ceca1646246d8ec.jpg,https://ae04.alicdn.com/kf/S9a5c372ea03d4c259a60c1eeaddedd30g.jpg,https://ae04.alicdn.com/kf/S690b2f49f419481dac57040660f7dfect.jpg,https://ae04.alicdn.com/kf/S9f014f23e17a41df8cd7b1d3187cc3e24.jpg,",https://www.aliexpress.com/item/1005003862375800.html,45.00,22.95,9.00%,,49%,https://s.click.aliexpress.com/e/_Acbf5J
Jeans,200000378,Loose jeans casual pants,1005003862351672,https://ae01.alicdn.com/kf/S69103268822d4f45b7cfb6bd7342fa10L/Loose-jeans-casual-pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S69103268822d4f45b7cfb6bd7342fa10L.jpg,https://ae04.alicdn.com/kf/S5a103759797643b28b2b3e058f8ef93cb.jpg,https://ae04.alicdn.com/kf/S44650c5ba8f64f4c82a548db984ca736N.jpg,https://ae04.alicdn.com/kf/S991a9bf64c154e75a77394ce6dbdba638.jpg,https://ae04.alicdn.com/kf/S894b6bf62d8645e8898e5c6205b2d874o.jpg,",https://www.aliexpress.com/item/1005003862351672.html,90.00,45.90,9.00%,,49%,https://s.click.aliexpress.com/e/_Asq1bT
Jeans,200000378,2021 European and European popular logo jeans fashion casual print white men's jeans colorful tights pull pants pencil,1005002923962311,https://ae01.alicdn.com/kf/H514053a13fe9409089396d0ba450fd23R/2021-European-and-European-popular-logo-jeans-fashion-casual-print-white-men-s-jeans-colorful-tights.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H514053a13fe9409089396d0ba450fd23R.jpg,https://ae04.alicdn.com/kf/H4270e10a155f4972b16904c56d48e0c95.jpg,https://ae04.alicdn.com/kf/H9c8aeb630a984e89947ae8306d441b84S.jpg,https://ae04.alicdn.com/kf/H3edbf5880df7400aade023f8c9d74149U.jpg,https://ae04.alicdn.com/kf/H82a783465970459995ff06811c20192dE.jpg,",https://www.aliexpress.com/item/1005002923962311.html,28.99,28.99,10.00%,,0%,https://s.click.aliexpress.com/e/_9AKxe1
Jeans,200000378,Men Solid Color Denim Trousers Slim Fit Middle Waist Ripped Long Pencil Jeans with Pockets,1005003383873203,https://ae01.alicdn.com/kf/Hf358e0ef31dc4d1a9e07e0125927a59dh/Men-Solid-Color-Denim-Trousers-Slim-Fit-Middle-Waist-Ripped-Long-Pencil-Jeans-with-Pockets.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf358e0ef31dc4d1a9e07e0125927a59dh.jpg,https://ae04.alicdn.com/kf/Hdd859a62880f44bcbf32a6003d5af886I.jpg,https://ae04.alicdn.com/kf/H3cd247a579c24fbd9b79f4865abbcaa8C.jpg,https://ae04.alicdn.com/kf/Hddfc7ba9f0584a85bb6e59dd4b1c0e59v.jpg,https://ae04.alicdn.com/kf/H8876ab149f4742caa81a87aecf68aae41.jpg,",https://www.aliexpress.com/item/1005003383873203.html,27.19,19.03,10.00%,,30%,https://s.click.aliexpress.com/e/_A2oJwZ
Jeans,200000378,Men Jeans Streetwear Vintage Jeans Spring Summer Tie-Dye Printed Loose Wide-Leg Jeans Men Mid-Waist Denim Straight-Leg Pants,1005003886699502,https://ae01.alicdn.com/kf/See90a945da784945b8eeb27582f6a3783/Men-Jeans-Streetwear-Vintage-Jeans-Spring-Summer-Tie-Dye-Printed-Loose-Wide-Leg-Jeans-Men-Mid.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/See90a945da784945b8eeb27582f6a3783.jpg,https://ae04.alicdn.com/kf/S22a25223b8dd42ffaf8d2e4413482b179.jpg,https://ae04.alicdn.com/kf/Sbbc46d6b91c841deacb8070cad521343q.jpg,https://ae04.alicdn.com/kf/Sca7a7a00f79a4f7fb45e54580fc41c124.jpg,https://ae04.alicdn.com/kf/Saec1e626f0a9477a8b9765b43052c7eey.jpg,",https://www.aliexpress.com/item/1005003886699502.html,29.68,23.74,10.00%,,20%,https://s.click.aliexpress.com/e/_A8Z2fn
Jeans,200000378,Blue/Black Splash Ink Jeans Men Fashion Retro Baggy Jeans Men Streetwear Loose Hip Hop Straight Denim Pants Mens Trousers M-2XL,1005003369501843,https://ae01.alicdn.com/kf/Ha6e1cd6aef564099a3f3bda7cbcf7282b/Blue-Black-Splash-Ink-Jeans-Men-Fashion-Retro-Baggy-Jeans-Men-Streetwear-Loose-Hip-Hop-Straight.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha6e1cd6aef564099a3f3bda7cbcf7282b.jpg,https://ae04.alicdn.com/kf/H72201e59dce34ae8bf8babf2ec098fdb5.jpg,https://ae04.alicdn.com/kf/H7d946ec408f84965a4f6bcda720fc5f9d.jpg,https://ae04.alicdn.com/kf/Hecc7cecdbcce4387aa72f762f626dde5R.jpg,https://ae04.alicdn.com/kf/H7c791e407974404a8bca6a4067b4ae3fv.jpg,",https://www.aliexpress.com/item/1005003369501843.html,33.22,27.57,9.00%,,17%,https://s.click.aliexpress.com/e/_9G0UlL
Jeans,200000378,Wide-leg Jeans Men Fashion Retro Gradient Baggy Jeans Men Streetwear Loose Hip-hop Straight-leg Denim Trousers Mens S-2XL,1005002509265096,https://ae01.alicdn.com/kf/Hc7f479a5f7314a9ab1de3beea74d7e08r/Wide-leg-Jeans-Men-Fashion-Retro-Gradient-Baggy-Jeans-Men-Streetwear-Loose-Hip-hop-Straight-leg.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc7f479a5f7314a9ab1de3beea74d7e08r.jpg,https://ae04.alicdn.com/kf/H5e753d96d5484e879dc9ceba92791478c.jpg,https://ae04.alicdn.com/kf/H1e3eddf120e8451aacf5d9294cf0a8e6x.jpg,https://ae04.alicdn.com/kf/H2682952dbd0e4cd880ce6a6beb1b492fK.jpg,https://ae04.alicdn.com/kf/H4f51ad2ee35f4111af30d8eaef3751e6o.jpg,",https://www.aliexpress.com/item/1005002509265096.html,28.19,23.68,9.00%,,16%,https://s.click.aliexpress.com/e/_APCBWh
Jeans,200000378,Spring and autumn men's straight business denim trousers,1005003862510051,https://ae01.alicdn.com/kf/S3b5d016d4eb14b6f89b9b5aa2fbc74fc9/Spring-and-autumn-men-s-straight-business-denim-trousers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S3b5d016d4eb14b6f89b9b5aa2fbc74fc9.jpg,https://ae04.alicdn.com/kf/Sb4127fc8a6c4463ca65f5266caaaab82K.jpg,https://ae04.alicdn.com/kf/S7feec67cef494ccf966bf25841c61d6b5.jpg,https://ae04.alicdn.com/kf/S682caf496db943a888029f9ab9f88395w.jpg,https://ae04.alicdn.com/kf/Sbda7c900693c46a2bbb02a3c5149e28d0.jpg,",https://www.aliexpress.com/item/1005003862510051.html,45.00,22.95,9.00%,,49%,https://s.click.aliexpress.com/e/_9feuSH
