Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Shirts,348,New Striped Shirt Anime T-shirt Cute And Interesting Short Sleeve Unisex Casual Fashion Top Daily Wear Hawaiian Shirt Summer New,1005003886588969,https://ae01.alicdn.com/kf/S02d7f9e0656848ee9196f22354c1921fo/New-Striped-Shirt-Anime-T-shirt-Cute-And-Interesting-Short-Sleeve-Unisex-Casual-Fashion-Top-Daily.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S02d7f9e0656848ee9196f22354c1921fo.jpg,https://ae04.alicdn.com/kf/S978da8d7de3d43779a6a043d6af6d2c8w.jpg,https://ae04.alicdn.com/kf/S41dc62a183274682951a71cf5c0b9dcfm.jpg,https://ae04.alicdn.com/kf/Sea59470c95f44c0eb1df3020247a9526t.jpg,https://ae04.alicdn.com/kf/S5e5fd8363071403291bc8fc346b16f33U.jpg,",https://www.aliexpress.com/item/1005003886588969.html,7.00,4.13,9.00%,,41%,https://s.click.aliexpress.com/e/_ATYjrb
Shirts,348,100% Pure Cotton Short Sleeve Shirt Men Business Casual High Quality Slim Fit Men Non Iron Plaid Shirt Korean Regular Fit Top,1005003393293699,https://ae01.alicdn.com/kf/H1d2076bcd8fd492fb64a1fe19138e496d/100-Pure-Cotton-Short-Sleeve-Shirt-Men-Business-Casual-High-Quality-Slim-Fit-Men-Non-Iron.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1d2076bcd8fd492fb64a1fe19138e496d.jpg,https://ae04.alicdn.com/kf/H91a53e9a45de496992ab20c74ab271c29.jpg,https://ae04.alicdn.com/kf/H8fe83c5c8c0f48948dacac5c7b38e0d0C.jpg,https://ae04.alicdn.com/kf/He32edd7090a14e85865a8b56b2913c2fw.jpg,https://ae04.alicdn.com/kf/H4eb389303592496a88c97291a17ac1c8d.jpg,",https://www.aliexpress.com/item/1005003393293699.html,27.98,13.99,30.00%,,50%,https://s.click.aliexpress.com/e/_9ixYGh
Shirts,348,Camisa Hawaiana Hombre Fashion Men's Hawaiian Shirt American Flag Men's Casual Color Printed Beach Aloha Shirt Short Sleeve XL 5,1005003886628781,https://ae01.alicdn.com/kf/S9e3bd45d525f4547b1ffaff62d51f343k/Camisa-Hawaiana-Hombre-Fashion-Men-s-Hawaiian-Shirt-American-Flag-Men-s-Casual-Color-Printed-Beach.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S9e3bd45d525f4547b1ffaff62d51f343k.jpg,https://ae04.alicdn.com/kf/S61cb39fea9cd4367b0973b65382295caK.jpg,https://ae04.alicdn.com/kf/S363602cb1d7046cabb9863b91bc3bc17F.jpg,https://ae04.alicdn.com/kf/S4a10d0d9875d408da1e72e859664528bh.jpg,https://ae04.alicdn.com/kf/S61f5ec5888af4c659146c7ec41274daan.jpg,",https://www.aliexpress.com/item/1005003886628781.html,7.00,4.13,9.00%,,41%,https://s.click.aliexpress.com/e/_AMJmhj
Shirts,348,3d Printing Shirt Colorful Trendy Cool Pattern Summer Men Short Sleeve Loose Fashion Casual Top Holiday Beach Hawaiian Shirt,1005003886776112,https://ae01.alicdn.com/kf/Sa7160efbe0954cd0a4dbbd4854d210f5B/3d-Printing-Shirt-Colorful-Trendy-Cool-Pattern-Summer-Men-Short-Sleeve-Loose-Fashion-Casual-Top-Holiday.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa7160efbe0954cd0a4dbbd4854d210f5B.jpg,https://ae04.alicdn.com/kf/S1c4ca9a75c0b4bb192e5e5cceff4150ah.jpg,https://ae04.alicdn.com/kf/S29534c9a1f2b4784b37dedf1ed9ed7c1D.jpg,https://ae04.alicdn.com/kf/Sad4a9715fbf94da3b17c97a7623d5359m.jpg,https://ae04.alicdn.com/kf/S760324d4b6674b5fbe9a4ce6072b70d7r.jpg,",https://www.aliexpress.com/item/1005003886776112.html,8.00,4.72,9.00%,,41%,https://s.click.aliexpress.com/e/_98kcpT
Shirts,348,Summer Short Sleeve Shirts Men Fashion Ice Silk Printed Casual Shirts Men Streetwear Korean Loose Hawaiian Shirts Men M-3XL,1005003885932997,https://ae01.alicdn.com/kf/S497e82417b3041c39db898c9b0439f2cI/Summer-Short-Sleeve-Shirts-Men-Fashion-Ice-Silk-Printed-Casual-Shirts-Men-Streetwear-Korean-Loose-Hawaiian.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S497e82417b3041c39db898c9b0439f2cI.jpg,https://ae04.alicdn.com/kf/S2307c950962a453f8f4b2a6e8cfbb4f5w.jpg,https://ae04.alicdn.com/kf/Sb8775aed82a94e999e41ccdc4c4c07d4h.jpg,https://ae04.alicdn.com/kf/Scbf2941f3b094a6aaf3a1b4579cc0e0du.jpg,https://ae04.alicdn.com/kf/S9269cc43806344cd8fec085acfe02fe4I.jpg,",https://www.aliexpress.com/item/1005003885932997.html,22.15,18.38,9.00%,,17%,https://s.click.aliexpress.com/e/_970ejn
Shirts,348,COODRONY Brand Business Casual Male Turn-down Collar Cotton Clothing Classic Fashion New Arrivals Dark Color Soft Shirts W6035,1005003882472242,https://ae01.alicdn.com/kf/S44a6983019e14029845559bfc17f40552/COODRONY-Brand-Business-Casual-Male-Turn-down-Collar-Cotton-Clothing-Classic-Fashion-New-Arrivals-Dark-Color.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S44a6983019e14029845559bfc17f40552.jpg,https://ae04.alicdn.com/kf/Sf4c57af358ed4c49b9d74ac8b06f49caQ.jpg,https://ae04.alicdn.com/kf/Sd7b0cc13bb00423ebfae2b8cf2d4c0feX.jpg,https://ae04.alicdn.com/kf/Se6ba36eebef5430b8950f69439c1b91dJ.jpg,https://ae04.alicdn.com/kf/S0b58ace8f762416f8d3e9daaba3cacc1F.jpg,",https://www.aliexpress.com/item/1005003882472242.html,41.00,20.50,51.00%,,50%,https://s.click.aliexpress.com/e/_9RiI0v
Shirts,348,2022 New Summer High Quality Men's Hawaiian Shirt 3D Fruit Print Short Turn Leader Plus Size Hawaiian Men's Beach Flower Shirt,1005003886749233,https://ae01.alicdn.com/kf/S3b110dc17c164c608f1cf9ce086aca8fK/2022-New-Summer-High-Quality-Men-s-Hawaiian-Shirt-3D-Fruit-Print-Short-Turn-Leader-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S3b110dc17c164c608f1cf9ce086aca8fK.jpg,https://ae04.alicdn.com/kf/S6fb0a84cd84a42eab9f966b051b1336bU.jpg,https://ae04.alicdn.com/kf/Sb8f55c1e230040b0970aae86c8e56281C.jpg,https://ae04.alicdn.com/kf/S473469c855024267b6d0ecb658f8f36ab.jpg,https://ae04.alicdn.com/kf/S9f5d3b7b5c8442a79d2262559dfbdf8ey.jpg,",https://www.aliexpress.com/item/1005003886749233.html,7.00,4.13,9.00%,,41%,https://s.click.aliexpress.com/e/_AqBYmV
Shirts,348,Men's New Long Sleeve Shirts 100% Cotton Plaid Shirts Solid Color Striped Casual Shirts Slim Fit Korean Clothing,1005003883199464,https://ae01.alicdn.com/kf/S07382ae058a84d4096a5f8dfd22e89fdq/Men-s-New-Long-Sleeve-Shirts-100-Cotton-Plaid-Shirts-Solid-Color-Striped-Casual-Shirts-Slim.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S07382ae058a84d4096a5f8dfd22e89fdq.jpg,https://ae04.alicdn.com/kf/S352982fbd8734b848dae8a35c1e37a44L.jpg,https://ae04.alicdn.com/kf/S798befbb3598405bbcafa82505e0f8dbM.jpg,https://ae04.alicdn.com/kf/Sbc8416a194334e1590bbf3978dc257eeW.jpg,https://ae04.alicdn.com/kf/Sa5a12067e57d43d8a2ec32100ee6189al.jpg,",https://www.aliexpress.com/item/1005003883199464.html,24.82,11.17,12.00%,,55%,https://s.click.aliexpress.com/e/_A6Ktwp
Shirts,348,New Mens Basic Shirts Spring Summer Casual Shirt Short Sleeve Cotton Linen Shirts Men Loose Collar Shirt silk Chemise Homme Tops,1005003887347242,https://ae01.alicdn.com/kf/H8cfb60010ef04d6a8b5d8c0ec2a32911r/New-Mens-Basic-Shirts-Spring-Summer-Casual-Shirt-Short-Sleeve-Cotton-Linen-Shirts-Men-Loose-Collar.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8cfb60010ef04d6a8b5d8c0ec2a32911r.jpg,https://ae04.alicdn.com/kf/H68dc95098534443a8f318b81628c83b2p.jpg,https://ae04.alicdn.com/kf/H76f66e6e54df4ad289ef55fc30e6be70E.jpg,https://ae04.alicdn.com/kf/Hebbd070442464c64a11db3faca9e4184B.jpg,https://ae04.alicdn.com/kf/H89c20d408be840fea6f70523641d5ad8v.jpg,",https://www.aliexpress.com/item/1005003887347242.html,40.23,20.11,40.00%,,50%,https://s.click.aliexpress.com/e/_9u3Cq5
Shirts,348,Spring 2022 New Fashion Men's Suit Formal Work Traditional Wedding Dress Advanced Private Customization  TA2116069,1005003845693419,https://ae01.alicdn.com/kf/Sa1082708b4a249b8bdc816bfd178fe42d/Spring-2022-New-Fashion-Men-s-Suit-Formal-Work-Traditional-Wedding-Dress-Advanced-Private-Customization-TA2116069.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa1082708b4a249b8bdc816bfd178fe42d.jpg,https://ae04.alicdn.com/kf/S851043007e1a480293aa87bcc901a2dbu.jpg,https://ae04.alicdn.com/kf/H39c3d0422dfd42cf8744fa17cc1e5726g.jpg,https://ae04.alicdn.com/kf/S55e777c5a0ef4ece9f2bd87eb024510aP.jpg,https://ae04.alicdn.com/kf/Sa13296ffd80b4fdebe98699b75a2a87eJ.jpg,",https://www.aliexpress.com/item/1005003845693419.html,92.34,78.49,9.00%,,15%,https://s.click.aliexpress.com/e/_AmVubR
